product_id,clinic_id,stock_level,snapshot_date
P001,your_clinic,22,2026-09-05
P002,your_clinic,113,2026-09-05
P003,your_clinic,32,2026-09-05
P004,your_clinic,4,2026-09-05
P005,your_clinic,242,2026-09-05
P006,your_clinic,24,2026-09-05
P007,your_clinic,98,2026-09-05
P008,your_clinic,45,2026-09-05
P009,your_clinic,3,2026-09-05
P010,your_clinic,208,2026-09-05
P011,your_clinic,42,2026-09-05
P012,your_clinic,60,2026-09-05
P013,your_clinic,45,2026-09-05
P014,your_clinic,5,2026-09-05
P015,your_clinic,173,2026-09-05
P016,your_clinic,36,2026-09-05
P017,your_clinic,63,2026-09-05
P018,your_clinic,36,2026-09-05
P019,your_clinic,8,2026-09-05
P020,your_clinic,194,2026-09-05
P021,your_clinic,36,2026-09-05
P022,your_clinic,113,2026-09-05
P023,your_clinic,49,2026-09-05
P024,your_clinic,6,2026-09-05
P025,your_clinic,189,2026-09-05
