record_id,product_id,clinic_id,quantity,transaction_date,linked_visit_id
SR0001,P001,your_clinic,13,2026-07-12,
SR0002,P001,your_clinic,13,2026-07-13,
SR0003,P001,your_clinic,10,2026-07-14,
SR0004,P001,your_clinic,10,2026-07-15,
SR0005,P001,your_clinic,7,2026-07-16,
SR0006,P001,your_clinic,18,2026-07-17,
SR0007,P001,your_clinic,12,2026-07-18,
SR0008,P001,your_clinic,10,2026-07-19,
SR0009,P001,your_clinic,23,2026-07-20,
SR0010,P001,your_clinic,6,2026-07-21,
SR0011,P001,your_clinic,12,2026-07-22,
SR0012,P001,your_clinic,14,2026-07-23,
SR0013,P001,your_clinic,13,2026-07-24,
SR0014,P001,your_clinic,10,2026-07-25,
SR0015,P001,your_clinic,14,2026-07-26,
SR0016,P001,your_clinic,9,2026-07-27,
SR0017,P001,your_clinic,13,2026-07-28,
SR0018,P001,your_clinic,14,2026-07-29,
SR0019,P001,your_clinic,18,2026-07-30,
SR0020,P001,your_clinic,13,2026-07-31,
SR0021,P001,your_clinic,17,2026-08-01,
SR0022,P001,your_clinic,15,2026-08-02,
SR0023,P001,your_clinic,18,2026-08-03,
SR0024,P001,your_clinic,16,2026-08-04,
SR0025,P001,your_clinic,13,2026-08-05,
SR0026,P001,your_clinic,14,2026-08-06,
SR0027,P001,your_clinic,18,2026-08-07,
SR0028,P001,your_clinic,21,2026-08-08,
SR0029,P001,your_clinic,10,2026-08-09,
SR0030,P001,your_clinic,18,2026-08-10,
SR0031,P001,your_clinic,18,2026-08-11,
SR0032,P001,your_clinic,17,2026-08-12,
SR0033,P001,your_clinic,20,2026-08-13,
SR0034,P001,your_clinic,14,2026-08-14,
SR0035,P001,your_clinic,20,2026-08-15,
SR0036,P001,your_clinic,17,2026-08-16,
SR0037,P001,your_clinic,24,2026-08-17,
SR0038,P001,your_clinic,19,2026-08-18,
SR0039,P001,your_clinic,13,2026-08-19,
SR0040,P001,your_clinic,19,2026-08-20,
SR0041,P001,your_clinic,28,2026-08-21,
SR0042,P001,your_clinic,21,2026-08-22,
SR0043,P001,your_clinic,13,2026-08-23,
SR0044,P001,your_clinic,15,2026-08-24,
SR0045,P001,your_clinic,26,2026-08-25,
SR0046,P001,your_clinic,14,2026-08-26,
SR0047,P001,your_clinic,27,2026-08-27,
SR0048,P001,your_clinic,22,2026-08-28,
SR0049,P001,your_clinic,18,2026-08-29,
SR0050,P001,your_clinic,15,2026-08-30,
SR0051,P001,your_clinic,21,2026-08-31,
SR0052,P001,your_clinic,18,2026-09-01,
SR0053,P001,your_clinic,16,2026-09-02,
SR0054,P001,your_clinic,22,2026-09-03,
SR0055,P001,your_clinic,13,2026-09-04,
SR0056,P001,your_clinic,18,2026-09-05,
SR0057,P002,your_clinic,4,2026-07-12,
SR0058,P002,your_clinic,1,2026-07-13,
SR0059,P002,your_clinic,6,2026-07-14,
SR0060,P002,your_clinic,5,2026-07-15,
SR0061,P002,your_clinic,6,2026-07-16,
SR0062,P002,your_clinic,4,2026-07-17,
SR0063,P002,your_clinic,6,2026-07-18,
SR0064,P002,your_clinic,3,2026-07-19,
SR0065,P002,your_clinic,7,2026-07-20,
SR0066,P002,your_clinic,9,2026-07-21,
SR0067,P002,your_clinic,5,2026-07-22,
SR0068,P002,your_clinic,4,2026-07-23,
SR0069,P002,your_clinic,2,2026-07-24,
SR0070,P002,your_clinic,5,2026-07-25,
SR0071,P002,your_clinic,5,2026-07-26,
SR0072,P002,your_clinic,4,2026-07-27,
SR0073,P002,your_clinic,3,2026-07-28,
SR0074,P002,your_clinic,6,2026-07-29,
SR0075,P002,your_clinic,3,2026-07-30,
SR0076,P002,your_clinic,2,2026-07-31,
SR0077,P002,your_clinic,5,2026-08-01,
SR0078,P002,your_clinic,2,2026-08-02,
SR0079,P002,your_clinic,2,2026-08-03,
SR0080,P002,your_clinic,3,2026-08-04,
SR0081,P002,your_clinic,2,2026-08-05,
SR0082,P002,your_clinic,1,2026-08-06,
SR0083,P002,your_clinic,2,2026-08-08,
SR0084,P002,your_clinic,1,2026-08-09,
SR0085,P002,your_clinic,1,2026-08-10,
SR0086,P002,your_clinic,3,2026-08-11,
SR0087,P002,your_clinic,4,2026-08-12,
SR0088,P002,your_clinic,2,2026-08-14,
SR0089,P002,your_clinic,3,2026-08-15,
SR0090,P002,your_clinic,2,2026-08-16,
SR0091,P002,your_clinic,1,2026-08-17,
SR0092,P002,your_clinic,2,2026-08-18,
SR0093,P002,your_clinic,2,2026-08-20,
SR0094,P002,your_clinic,1,2026-08-21,
SR0095,P002,your_clinic,2,2026-08-23,
SR0096,P002,your_clinic,2,2026-08-24,
SR0097,P002,your_clinic,1,2026-08-26,
SR0098,P002,your_clinic,3,2026-08-27,
SR0099,P002,your_clinic,1,2026-08-28,
SR0100,P002,your_clinic,1,2026-08-29,
SR0101,P002,your_clinic,1,2026-08-31,
SR0102,P002,your_clinic,2,2026-09-02,
SR0103,P002,your_clinic,2,2026-09-04,
SR0104,P002,your_clinic,2,2026-09-05,
SR0105,P003,your_clinic,9,2026-07-12,
SR0106,P003,your_clinic,12,2026-07-13,
SR0107,P003,your_clinic,6,2026-07-14,
SR0108,P003,your_clinic,7,2026-07-15,
SR0109,P003,your_clinic,11,2026-07-16,
SR0110,P003,your_clinic,8,2026-07-17,
SR0111,P003,your_clinic,8,2026-07-18,
SR0112,P003,your_clinic,7,2026-07-19,
SR0113,P003,your_clinic,14,2026-07-20,
SR0114,P003,your_clinic,10,2026-07-21,
SR0115,P003,your_clinic,8,2026-07-22,
SR0116,P003,your_clinic,10,2026-07-23,
SR0117,P003,your_clinic,10,2026-07-24,
SR0118,P003,your_clinic,9,2026-07-25,
SR0119,P003,your_clinic,6,2026-07-26,
SR0120,P003,your_clinic,5,2026-07-27,
SR0121,P003,your_clinic,6,2026-07-28,
SR0122,P003,your_clinic,10,2026-07-29,
SR0123,P003,your_clinic,5,2026-07-30,
SR0124,P003,your_clinic,2,2026-07-31,
SR0125,P003,your_clinic,11,2026-08-01,
SR0126,P003,your_clinic,5,2026-08-02,
SR0127,P003,your_clinic,11,2026-08-03,
SR0128,P003,your_clinic,13,2026-08-04,
SR0129,P003,your_clinic,7,2026-08-05,
SR0130,P003,your_clinic,10,2026-08-06,
SR0131,P003,your_clinic,10,2026-08-07,
SR0132,P003,your_clinic,7,2026-08-08,
SR0133,P003,your_clinic,5,2026-08-09,
SR0134,P003,your_clinic,10,2026-08-10,
SR0135,P003,your_clinic,5,2026-08-11,
SR0136,P003,your_clinic,8,2026-08-12,
SR0137,P003,your_clinic,10,2026-08-13,
SR0138,P003,your_clinic,9,2026-08-14,
SR0139,P003,your_clinic,6,2026-08-15,
SR0140,P003,your_clinic,6,2026-08-16,
SR0141,P003,your_clinic,8,2026-08-17,
SR0142,P003,your_clinic,10,2026-08-18,
SR0143,P003,your_clinic,9,2026-08-19,
SR0144,P003,your_clinic,2,2026-08-20,
SR0145,P003,your_clinic,12,2026-08-21,
SR0146,P003,your_clinic,10,2026-08-22,
SR0147,P003,your_clinic,12,2026-08-23,
SR0148,P003,your_clinic,10,2026-08-24,
SR0149,P003,your_clinic,9,2026-08-25,
SR0150,P003,your_clinic,9,2026-08-26,
SR0151,P003,your_clinic,12,2026-08-27,
SR0152,P003,your_clinic,7,2026-08-28,
SR0153,P003,your_clinic,5,2026-08-29,
SR0154,P003,your_clinic,7,2026-08-30,
SR0155,P003,your_clinic,8,2026-08-31,
SR0156,P003,your_clinic,9,2026-09-01,
SR0157,P003,your_clinic,5,2026-09-02,
SR0158,P003,your_clinic,9,2026-09-03,
SR0159,P003,your_clinic,10,2026-09-04,
SR0160,P003,your_clinic,8,2026-09-05,
SR0161,P004,your_clinic,13,2026-07-12,
SR0162,P004,your_clinic,16,2026-07-13,
SR0163,P004,your_clinic,20,2026-07-14,
SR0164,P004,your_clinic,16,2026-07-15,
SR0165,P004,your_clinic,11,2026-07-16,
SR0166,P004,your_clinic,16,2026-07-17,
SR0167,P004,your_clinic,16,2026-07-18,
SR0168,P004,your_clinic,16,2026-07-19,
SR0169,P004,your_clinic,17,2026-07-20,
SR0170,P004,your_clinic,10,2026-07-21,
SR0171,P004,your_clinic,13,2026-07-22,
SR0172,P004,your_clinic,17,2026-07-23,
SR0173,P004,your_clinic,20,2026-07-24,
SR0174,P004,your_clinic,21,2026-07-25,
SR0175,P004,your_clinic,17,2026-07-26,
SR0176,P004,your_clinic,20,2026-07-27,
SR0177,P004,your_clinic,13,2026-07-28,
SR0178,P004,your_clinic,14,2026-07-29,
SR0179,P004,your_clinic,19,2026-07-30,
SR0180,P004,your_clinic,15,2026-07-31,
SR0181,P004,your_clinic,15,2026-08-01,
SR0182,P004,your_clinic,18,2026-08-02,
SR0183,P004,your_clinic,14,2026-08-03,
SR0184,P004,your_clinic,17,2026-08-04,
SR0185,P004,your_clinic,18,2026-08-05,
SR0186,P004,your_clinic,20,2026-08-06,
SR0187,P004,your_clinic,19,2026-08-07,
SR0188,P004,your_clinic,8,2026-08-08,
SR0189,P004,your_clinic,15,2026-08-09,
SR0190,P004,your_clinic,10,2026-08-10,
SR0191,P004,your_clinic,12,2026-08-11,
SR0192,P004,your_clinic,18,2026-08-12,
SR0193,P004,your_clinic,17,2026-08-13,
SR0194,P004,your_clinic,16,2026-08-14,
SR0195,P004,your_clinic,14,2026-08-15,
SR0196,P004,your_clinic,14,2026-08-16,
SR0197,P004,your_clinic,25,2026-08-17,
SR0198,P004,your_clinic,9,2026-08-18,
SR0199,P004,your_clinic,15,2026-08-19,
SR0200,P004,your_clinic,18,2026-08-20,
SR0201,P004,your_clinic,24,2026-08-21,
SR0202,P004,your_clinic,24,2026-08-22,
SR0203,P004,your_clinic,15,2026-08-23,
SR0204,P004,your_clinic,16,2026-08-24,
SR0205,P004,your_clinic,25,2026-08-25,
SR0206,P004,your_clinic,17,2026-08-26,
SR0207,P004,your_clinic,13,2026-08-27,
SR0208,P004,your_clinic,14,2026-08-28,
SR0209,P004,your_clinic,17,2026-08-29,
SR0210,P004,your_clinic,8,2026-08-30,
SR0211,P004,your_clinic,13,2026-08-31,
SR0212,P004,your_clinic,25,2026-09-01,
SR0213,P004,your_clinic,18,2026-09-02,
SR0214,P004,your_clinic,19,2026-09-03,
SR0215,P004,your_clinic,21,2026-09-04,
SR0216,P004,your_clinic,18,2026-09-05,
SR0217,P005,your_clinic,5,2026-07-12,
SR0218,P005,your_clinic,3,2026-07-13,
SR0219,P005,your_clinic,6,2026-07-14,
SR0220,P005,your_clinic,9,2026-07-15,
SR0221,P005,your_clinic,9,2026-07-16,
SR0222,P005,your_clinic,4,2026-07-17,
SR0223,P005,your_clinic,2,2026-07-18,
SR0224,P005,your_clinic,5,2026-07-19,
SR0225,P005,your_clinic,2,2026-07-20,
SR0226,P005,your_clinic,7,2026-07-21,
SR0227,P005,your_clinic,5,2026-07-22,
SR0228,P005,your_clinic,10,2026-07-23,
SR0229,P005,your_clinic,3,2026-07-24,
SR0230,P005,your_clinic,6,2026-07-25,
SR0231,P005,your_clinic,10,2026-07-26,
SR0232,P005,your_clinic,6,2026-07-27,
SR0233,P005,your_clinic,5,2026-07-28,
SR0234,P005,your_clinic,1,2026-07-29,
SR0235,P005,your_clinic,4,2026-07-30,
SR0236,P005,your_clinic,11,2026-07-31,
SR0237,P005,your_clinic,4,2026-08-01,
SR0238,P005,your_clinic,7,2026-08-02,
SR0239,P005,your_clinic,3,2026-08-03,
SR0240,P005,your_clinic,1,2026-08-04,
SR0241,P005,your_clinic,4,2026-08-05,
SR0242,P005,your_clinic,4,2026-08-06,
SR0243,P005,your_clinic,3,2026-08-07,
SR0244,P005,your_clinic,7,2026-08-08,
SR0245,P005,your_clinic,5,2026-08-09,
SR0246,P005,your_clinic,8,2026-08-10,
SR0247,P005,your_clinic,4,2026-08-11,
SR0248,P005,your_clinic,7,2026-08-12,
SR0249,P005,your_clinic,6,2026-08-13,
SR0250,P005,your_clinic,10,2026-08-14,
SR0251,P005,your_clinic,7,2026-08-15,
SR0252,P005,your_clinic,3,2026-08-16,
SR0253,P005,your_clinic,6,2026-08-17,
SR0254,P005,your_clinic,5,2026-08-18,
SR0255,P005,your_clinic,8,2026-08-19,
SR0256,P005,your_clinic,9,2026-08-20,
SR0257,P005,your_clinic,3,2026-08-21,
SR0258,P005,your_clinic,6,2026-08-22,
SR0259,P005,your_clinic,7,2026-08-23,
SR0260,P005,your_clinic,11,2026-08-24,
SR0261,P005,your_clinic,7,2026-08-25,
SR0262,P005,your_clinic,7,2026-08-26,
SR0263,P005,your_clinic,5,2026-08-27,
SR0264,P005,your_clinic,3,2026-08-28,
SR0265,P005,your_clinic,4,2026-08-29,
SR0266,P005,your_clinic,9,2026-08-30,
SR0267,P005,your_clinic,4,2026-08-31,
SR0268,P005,your_clinic,10,2026-09-01,
SR0269,P005,your_clinic,7,2026-09-02,
SR0270,P005,your_clinic,6,2026-09-03,
SR0271,P005,your_clinic,4,2026-09-04,
SR0272,P005,your_clinic,7,2026-09-05,
SR0273,P006,your_clinic,5,2026-07-12,
SR0274,P006,your_clinic,7,2026-07-13,
SR0275,P006,your_clinic,5,2026-07-14,
SR0276,P006,your_clinic,3,2026-07-15,
SR0277,P006,your_clinic,2,2026-07-16,
SR0278,P006,your_clinic,5,2026-07-17,
SR0279,P006,your_clinic,7,2026-07-18,
SR0280,P006,your_clinic,4,2026-07-19,
SR0281,P006,your_clinic,5,2026-07-20,
SR0282,P006,your_clinic,4,2026-07-21,
SR0283,P006,your_clinic,12,2026-07-22,
SR0284,P006,your_clinic,7,2026-07-23,
SR0285,P006,your_clinic,11,2026-07-24,
SR0286,P006,your_clinic,8,2026-07-25,
SR0287,P006,your_clinic,10,2026-07-26,
SR0288,P006,your_clinic,7,2026-07-27,
SR0289,P006,your_clinic,8,2026-07-28,
SR0290,P006,your_clinic,8,2026-07-29,
SR0291,P006,your_clinic,8,2026-07-30,
SR0292,P006,your_clinic,6,2026-07-31,
SR0293,P006,your_clinic,4,2026-08-01,
SR0294,P006,your_clinic,10,2026-08-02,
SR0295,P006,your_clinic,9,2026-08-03,
SR0296,P006,your_clinic,7,2026-08-04,
SR0297,P006,your_clinic,4,2026-08-05,
SR0298,P006,your_clinic,6,2026-08-06,
SR0299,P006,your_clinic,11,2026-08-07,
SR0300,P006,your_clinic,8,2026-08-08,
SR0301,P006,your_clinic,6,2026-08-09,
SR0302,P006,your_clinic,8,2026-08-10,
SR0303,P006,your_clinic,4,2026-08-11,
SR0304,P006,your_clinic,6,2026-08-12,
SR0305,P006,your_clinic,8,2026-08-13,
SR0306,P006,your_clinic,6,2026-08-14,
SR0307,P006,your_clinic,13,2026-08-15,
SR0308,P006,your_clinic,6,2026-08-16,
SR0309,P006,your_clinic,9,2026-08-17,
SR0310,P006,your_clinic,10,2026-08-18,
SR0311,P006,your_clinic,7,2026-08-19,
SR0312,P006,your_clinic,6,2026-08-20,
SR0313,P006,your_clinic,8,2026-08-21,
SR0314,P006,your_clinic,8,2026-08-22,
SR0315,P006,your_clinic,12,2026-08-23,
SR0316,P006,your_clinic,10,2026-08-24,
SR0317,P006,your_clinic,6,2026-08-25,
SR0318,P006,your_clinic,10,2026-08-26,
SR0319,P006,your_clinic,13,2026-08-27,
SR0320,P006,your_clinic,8,2026-08-28,
SR0321,P006,your_clinic,14,2026-08-29,
SR0322,P006,your_clinic,9,2026-08-30,
SR0323,P006,your_clinic,10,2026-08-31,
SR0324,P006,your_clinic,10,2026-09-01,
SR0325,P006,your_clinic,12,2026-09-02,
SR0326,P006,your_clinic,6,2026-09-03,
SR0327,P006,your_clinic,11,2026-09-04,
SR0328,P006,your_clinic,14,2026-09-05,
SR0329,P007,your_clinic,4,2026-07-12,
SR0330,P007,your_clinic,10,2026-07-13,
SR0331,P007,your_clinic,10,2026-07-14,
SR0332,P007,your_clinic,9,2026-07-15,
SR0333,P007,your_clinic,14,2026-07-16,
SR0334,P007,your_clinic,6,2026-07-17,
SR0335,P007,your_clinic,13,2026-07-18,
SR0336,P007,your_clinic,3,2026-07-19,
SR0337,P007,your_clinic,7,2026-07-20,
SR0338,P007,your_clinic,6,2026-07-21,
SR0339,P007,your_clinic,6,2026-07-22,
SR0340,P007,your_clinic,9,2026-07-23,
SR0341,P007,your_clinic,2,2026-07-24,
SR0342,P007,your_clinic,7,2026-07-25,
SR0343,P007,your_clinic,9,2026-07-26,
SR0344,P007,your_clinic,7,2026-07-27,
SR0345,P007,your_clinic,4,2026-07-28,
SR0346,P007,your_clinic,10,2026-07-29,
SR0347,P007,your_clinic,5,2026-07-30,
SR0348,P007,your_clinic,4,2026-07-31,
SR0349,P007,your_clinic,8,2026-08-01,
SR0350,P007,your_clinic,4,2026-08-02,
SR0351,P007,your_clinic,8,2026-08-03,
SR0352,P007,your_clinic,3,2026-08-04,
SR0353,P007,your_clinic,6,2026-08-05,
SR0354,P007,your_clinic,2,2026-08-06,
SR0355,P007,your_clinic,6,2026-08-07,
SR0356,P007,your_clinic,6,2026-08-08,
SR0357,P007,your_clinic,8,2026-08-09,
SR0358,P007,your_clinic,2,2026-08-10,
SR0359,P007,your_clinic,5,2026-08-11,
SR0360,P007,your_clinic,5,2026-08-12,
SR0361,P007,your_clinic,7,2026-08-13,
SR0362,P007,your_clinic,4,2026-08-14,
SR0363,P007,your_clinic,3,2026-08-15,
SR0364,P007,your_clinic,3,2026-08-16,
SR0365,P007,your_clinic,6,2026-08-17,
